variant,configuration,concurrency,latency_p50_ms,throughput_tokens_s,tpot_p99_ms,interactivity_tokens_s,pareto_optimal
vllm_baseline,vLLM baseline,1,2104.213863,121.47684177821323,8.106125534745098,123.36349785279332,False
vllm_baseline,vLLM baseline,2,2217.7013739999998,230.37030257439338,8.43817781964706,118.5089981952794,False
vllm_baseline,vLLM baseline,4,2252.5198105,453.21417924609176,8.596119596941177,116.33155969070482,False
vllm_baseline,vLLM baseline,8,2315.894339,883.1441431616927,8.794196319490196,113.71135731684127,False
vllm_baseline,vLLM baseline,16,2405.6537949999997,1693.6984938685196,9.161635019529411,109.15082273724599,False
vllm_baseline,vLLM baseline,32,2647.1971795,3090.1791475023083,9.977973124470587,100.22075500960604,False
vllm_dflash,vLLM + DFlash,1,634.120813,395.6669130749873,3.2360435547058826,309.01932656184164,False
vllm_dflash,vLLM + DFlash,2,750.975814,659.1583427668896,3.0699314127058823,325.7401764290836,False
vllm_dflash,vLLM + DFlash,4,888.165576,1118.2157598551346,4.330460797647059,230.9223075159453,False
vllm_dflash,vLLM + DFlash,8,1135.258582,1752.8637400118605,5.958151627764705,167.83728620467582,False
vllm_dflash,vLLM + DFlash,16,1587.048347,2524.8058971766086,8.199220794,121.96280904299795,False
vllm_dflash,vLLM + DFlash,32,2340.3587079999998,3444.2314090967448,12.611185420588233,79.29468695047989,False
sglang_baseline,SGLang baseline,1,1862.0988244999999,137.231957672055,7.18224047717647,139.23231938247864,False
sglang_baseline,SGLang baseline,2,1930.937142,265.11969276916335,7.35284879945098,136.00170862682063,False
sglang_baseline,SGLang baseline,4,1989.328065,513.9699314509467,7.578269251882353,131.95625105978013,False
sglang_baseline,SGLang baseline,8,2046.2676534999998,998.5756944466519,7.794791900745097,128.2907886103298,False
sglang_baseline,SGLang baseline,16,2186.0319295,1871.730108335502,8.33789419290196,119.93435954743812,False
sglang_baseline,SGLang baseline,32,2344.3280784999997,3344.929802221335,8.95368336890196,111.68587929669391,False
sglang_dflash,SGLang + DFlash,1,498.25345999999996,505.0700174951832,2.526806481450981,395.7564646683053,False
sglang_dflash,SGLang + DFlash,2,548.370892,907.2908191359144,2.470407225490196,404.79156216909655,True
sglang_dflash,SGLang + DFlash,4,630.2943,1569.3668435761317,3.062148923019607,326.5680491508861,True
sglang_dflash,SGLang + DFlash,8,811.5759135,2459.943677539149,4.441998291921568,225.12390466665605,True
sglang_dflash,SGLang + DFlash,16,1127.8091175,3556.329221394468,5.762009116588235,173.55057580889664,True
sglang_dflash,SGLang + DFlash,32,1382.082764,5731.337620341899,7.068536014117647,141.47201032897732,True
pr2_dflash,vLLM + DFlash PR 52297,1,564.0880715,441.35642162747223,2.924020856392158,341.9948246312659,False
pr2_dflash,vLLM + DFlash PR 52297,2,634.6498775,776.8065584444413,2.783465474117647,359.2643807866875,False
pr2_dflash,vLLM + DFlash PR 52297,4,742.27292,1328.5439796851426,3.41093576435294,293.17467964387237,False
pr2_dflash,vLLM + DFlash PR 52297,8,950.8259545,2083.6308010711364,4.658013255254901,214.68380298657542,False
pr2_dflash,vLLM + DFlash PR 52297,16,1292.146246,3088.410004856663,6.522940964941176,153.30508207489473,False
pr2_dflash,vLLM + DFlash PR 52297,32,1908.1314969999999,4230.154353200859,9.823199000588236,101.7998311894239,False
