variant,concurrency,throughput_tokens_s,tpot_p90_ms,interactivity_tokens_s,throughput_std,interactivity_std,n,configuration,pareto_optimal
pr2_dflash,1,707.9168177190371,1.6579876809150325,603.2627075022773,30.747962885615394,10.497520477125997,3,vLLM + DFlash PR 52297,False
pr2_dflash,2,1116.0253160248913,2.0167363184313727,499.9119969606988,110.4727621687134,56.96517645583913,3,vLLM + DFlash PR 52297,False
pr2_dflash,4,1868.4501898384806,2.444214515163399,411.82176605616354,161.4190933494281,40.30264241063811,3,vLLM + DFlash PR 52297,False
pr2_dflash,8,2935.1366333541973,3.1467300704575156,320.6584810088771,293.18438086742856,37.67726186920116,3,vLLM + DFlash PR 52297,False
pr2_dflash,16,4393.268531703831,4.442265688627451,227.0272536180555,419.7215988619306,24.792440049718373,3,vLLM + DFlash PR 52297,False
pr2_dflash,32,6876.034070397884,5.650353064207195,176.99115246271296,80.25432343269841,1.7140458657553894,3,vLLM + DFlash PR 52297,False
sglang_baseline,1,401.04758183244303,2.3780942439215687,420.645751641159,12.543954528415545,9.466811753046821,3,SGLang baseline,False
sglang_baseline,2,795.2967292079628,2.3473877802614376,426.17897278490204,20.8140213090034,10.457859183525725,3,SGLang baseline,False
sglang_baseline,4,1542.8919417573154,2.4430967648366013,409.4767405681014,35.676313536179755,9.851519926766379,3,SGLang baseline,False
sglang_baseline,8,2960.169206232597,2.549015764575163,392.337376042366,30.065400464245677,4.125193137330757,3,SGLang baseline,False
sglang_baseline,16,5594.518139490275,2.698194925228758,370.62388037488836,23.402515692114193,1.783089086606412,3,SGLang baseline,True
sglang_baseline,32,9942.545979707085,2.960636600205856,337.7796498427188,249.78463922313045,2.710410320217516,3,SGLang baseline,True
sglang_dflash,1,982.2843206397979,1.1578304843096083,864.6054740661602,23.959298890874308,34.8209800074441,3,SGLang + DFlash,True
sglang_dflash,2,1705.973254258203,1.3319625732026144,751.1175663557977,52.17920052561004,19.61332945993838,3,SGLang + DFlash,True
sglang_dflash,4,2923.8807827646283,1.5628629852287588,640.4587569270448,64.76742961612744,23.900690426024628,3,SGLang + DFlash,True
sglang_dflash,8,4450.07094966458,2.1527722440069987,464.5852405579826,37.01404351192927,6.885229808838766,3,SGLang + DFlash,True
sglang_dflash,16,6265.977555947798,3.1353894750326803,318.9506618774449,118.58600597841064,2.299287166639641,3,SGLang + DFlash,False
sglang_dflash,32,11828.370218437316,3.1728594683660134,315.2082926554373,107.7191842101165,4.0641781320813015,3,SGLang + DFlash,True
vllm_baseline,1,390.8687556820048,2.439037714338428,410.004048223818,0.8914238344489391,1.9688631503718959,3,vLLM baseline,False
vllm_baseline,2,723.2862911421653,2.561904726428388,390.34902990448154,4.092075814957266,2.9038992364682827,3,vLLM baseline,False
vllm_baseline,4,1428.6014972153555,2.60546240627451,383.8286455204358,5.637459078429417,3.352899984319549,3,vLLM baseline,False
vllm_baseline,8,2745.9176710602183,2.6862858124183,372.2627104350209,10.626935965844373,0.9157913480696904,3,vLLM baseline,False
vllm_baseline,16,5104.600541963846,2.8713880365025433,348.2661782198167,27.95654005100957,1.1543107547217328,3,vLLM baseline,False
vllm_baseline,32,8993.86389537441,3.1456138372338014,317.90657190494534,30.14788622255482,1.3081361219161594,3,vLLM baseline,False
vllm_dflash,1,516.4541403262701,2.3204870682352943,433.8770477251928,37.98953514698088,43.18608108589622,3,vLLM + DFlash,False
vllm_dflash,2,857.7425823238394,2.637097759869281,383.2938682343406,108.00760196502978,47.157020519069036,3,vLLM + DFlash,False
vllm_dflash,4,1555.460023007029,2.8564692278431374,350.4865215622795,12.546845385408863,14.545083452123782,3,vLLM + DFlash,False
vllm_dflash,8,2466.200798973992,3.8197926475443507,262.60630517188287,77.52065368684343,17.725102403780976,3,vLLM + DFlash,False
vllm_dflash,16,3801.902908876176,5.004060129803922,199.90291122673543,41.8469881114552,4.404446558231468,3,vLLM + DFlash,False
vllm_dflash,32,5452.425876408804,7.138402439346405,140.28279733723693,197.65644065231947,6.329713295383824,3,vLLM + DFlash,False
