block,model,variant,concurrency,repetition,source,metric,value,statistic,unit
8,27B,pr2_dflash,1,1,b200-block8-20260922/27B/pr2_dflash/vllm_dflash/c1,acceptance_length,5.654847887940468,avg,tokens
8,27B,pr2_dflash,1,2,b200-repeats-20260922/rep2-block8/27B/pr2_dflash/vllm_dflash/c1,acceptance_length,5.654847887940468,avg,tokens
8,27B,pr2_dflash,1,3,b200-repeats-20260922/rep3-block8/27B/pr2_dflash/vllm_dflash/c1,acceptance_length,5.654847887940468,avg,tokens
8,27B,pr2_dflash,1,1,b200-block8-20260922/27B/pr2_dflash/vllm_dflash/c1,inter_chunk_latency,13.458946399999986,p99,ms
8,27B,pr2_dflash,1,2,b200-repeats-20260922/rep2-block8/27B/pr2_dflash/vllm_dflash/c1,inter_chunk_latency,12.965129319999992,p99,ms
8,27B,pr2_dflash,1,3,b200-repeats-20260922/rep3-block8/27B/pr2_dflash/vllm_dflash/c1,inter_chunk_latency,12.185067039999998,p99,ms
8,27B,pr2_dflash,1,1,b200-block8-20260922/27B/pr2_dflash/vllm_dflash/c1,inter_token_latency,2.3242333560784316,p90,ms
8,27B,pr2_dflash,1,2,b200-repeats-20260922/rep2-block8/27B/pr2_dflash/vllm_dflash/c1,inter_token_latency,2.2200237823529423,p90,ms
8,27B,pr2_dflash,1,3,b200-repeats-20260922/rep3-block8/27B/pr2_dflash/vllm_dflash/c1,inter_token_latency,2.2507716184313735,p90,ms
8,27B,pr2_dflash,1,1,b200-block8-20260922/27B/pr2_dflash/vllm_dflash/c1,inter_token_latency,2.924020856392158,p99,ms
8,27B,pr2_dflash,1,2,b200-repeats-20260922/rep2-block8/27B/pr2_dflash/vllm_dflash/c1,inter_token_latency,2.773466085568628,p99,ms
8,27B,pr2_dflash,1,3,b200-repeats-20260922/rep3-block8/27B/pr2_dflash/vllm_dflash/c1,inter_token_latency,2.8162517118823533,p99,ms
8,27B,pr2_dflash,1,1,b200-block8-20260922/27B/pr2_dflash/vllm_dflash/c1,interactivity,341.9948246312659,derived,tokens/s/user
8,27B,pr2_dflash,1,2,b200-repeats-20260922/rep2-block8/27B/pr2_dflash/vllm_dflash/c1,interactivity,360.5596640259532,derived,tokens/s/user
8,27B,pr2_dflash,1,3,b200-repeats-20260922/rep3-block8/27B/pr2_dflash/vllm_dflash/c1,interactivity,355.08189689891407,derived,tokens/s/user
8,27B,pr2_dflash,1,1,b200-block8-20260922/27B/pr2_dflash/vllm_dflash/c1,interactivity,430.24939702580144,derived_p90,tokens/s/user
8,27B,pr2_dflash,1,2,b200-repeats-20260922/rep2-block8/27B/pr2_dflash/vllm_dflash/c1,interactivity,450.4456249293543,derived_p90,tokens/s/user
8,27B,pr2_dflash,1,3,b200-repeats-20260922/rep3-block8/27B/pr2_dflash/vllm_dflash/c1,interactivity,444.2920782415625,derived_p90,tokens/s/user
8,27B,pr2_dflash,1,1,b200-block8-20260922/27B/pr2_dflash/vllm_dflash/c1,output_token_throughput,441.3564216274722,avg,tokens/s
8,27B,pr2_dflash,1,2,b200-repeats-20260922/rep2-block8/27B/pr2_dflash/vllm_dflash/c1,output_token_throughput,452.1686376224404,avg,tokens/s
8,27B,pr2_dflash,1,3,b200-repeats-20260922/rep3-block8/27B/pr2_dflash/vllm_dflash/c1,output_token_throughput,447.3389419630434,avg,tokens/s
8,27B,pr2_dflash,1,1,b200-block8-20260922/27B/pr2_dflash/vllm_dflash/c1,time_to_first_token,74.47790586,p99,ms
8,27B,pr2_dflash,1,2,b200-repeats-20260922/rep2-block8/27B/pr2_dflash/vllm_dflash/c1,time_to_first_token,76.26667534000015,p99,ms
8,27B,pr2_dflash,1,3,b200-repeats-20260922/rep3-block8/27B/pr2_dflash/vllm_dflash/c1,time_to_first_token,67.24032289000002,p99,ms
8,27B,pr2_dflash,2,1,b200-block8-20260922/27B/pr2_dflash/vllm_dflash/c2,acceptance_length,5.641921397379913,avg,tokens
8,27B,pr2_dflash,2,2,b200-repeats-20260922/rep2-block8/27B/pr2_dflash/vllm_dflash/c2,acceptance_length,5.696132596685083,avg,tokens
8,27B,pr2_dflash,2,3,b200-repeats-20260922/rep3-block8/27B/pr2_dflash/vllm_dflash/c2,acceptance_length,5.712860310421286,avg,tokens
8,27B,pr2_dflash,2,1,b200-block8-20260922/27B/pr2_dflash/vllm_dflash/c2,inter_chunk_latency,63.86309318000001,p99,ms
8,27B,pr2_dflash,2,2,b200-repeats-20260922/rep2-block8/27B/pr2_dflash/vllm_dflash/c2,inter_chunk_latency,60.31152425999999,p99,ms
8,27B,pr2_dflash,2,3,b200-repeats-20260922/rep3-block8/27B/pr2_dflash/vllm_dflash/c2,inter_chunk_latency,61.33038671999999,p99,ms
8,27B,pr2_dflash,2,1,b200-block8-20260922/27B/pr2_dflash/vllm_dflash/c2,inter_token_latency,2.540599062745098,p90,ms
8,27B,pr2_dflash,2,2,b200-repeats-20260922/rep2-block8/27B/pr2_dflash/vllm_dflash/c2,inter_token_latency,2.4209361384313723,p90,ms
8,27B,pr2_dflash,2,3,b200-repeats-20260922/rep3-block8/27B/pr2_dflash/vllm_dflash/c2,inter_token_latency,2.462868548627451,p90,ms
8,27B,pr2_dflash,2,1,b200-block8-20260922/27B/pr2_dflash/vllm_dflash/c2,inter_token_latency,2.783465474117647,p99,ms
8,27B,pr2_dflash,2,2,b200-repeats-20260922/rep2-block8/27B/pr2_dflash/vllm_dflash/c2,inter_token_latency,2.4649556834117643,p99,ms
8,27B,pr2_dflash,2,3,b200-repeats-20260922/rep3-block8/27B/pr2_dflash/vllm_dflash/c2,inter_token_latency,2.503716904078431,p99,ms
8,27B,pr2_dflash,2,1,b200-block8-20260922/27B/pr2_dflash/vllm_dflash/c2,interactivity,359.2643807866875,derived,tokens/s/user
8,27B,pr2_dflash,2,2,b200-repeats-20260922/rep2-block8/27B/pr2_dflash/vllm_dflash/c2,interactivity,405.6868067566603,derived,tokens/s/user
8,27B,pr2_dflash,2,3,b200-repeats-20260922/rep3-block8/27B/pr2_dflash/vllm_dflash/c2,interactivity,399.4061782188911,derived,tokens/s/user
8,27B,pr2_dflash,2,1,b200-block8-20260922/27B/pr2_dflash/vllm_dflash/c2,interactivity,393.60795438517863,derived_p90,tokens/s/user
8,27B,pr2_dflash,2,2,b200-repeats-20260922/rep2-block8/27B/pr2_dflash/vllm_dflash/c2,interactivity,413.0633535207346,derived_p90,tokens/s/user
8,27B,pr2_dflash,2,3,b200-repeats-20260922/rep3-block8/27B/pr2_dflash/vllm_dflash/c2,interactivity,406.03060222491246,derived_p90,tokens/s/user
8,27B,pr2_dflash,2,1,b200-block8-20260922/27B/pr2_dflash/vllm_dflash/c2,output_token_throughput,776.8065584444413,avg,tokens/s
8,27B,pr2_dflash,2,2,b200-repeats-20260922/rep2-block8/27B/pr2_dflash/vllm_dflash/c2,output_token_throughput,809.2255549499187,avg,tokens/s
8,27B,pr2_dflash,2,3,b200-repeats-20260922/rep3-block8/27B/pr2_dflash/vllm_dflash/c2,output_token_throughput,798.7542398609257,avg,tokens/s
8,27B,pr2_dflash,2,1,b200-block8-20260922/27B/pr2_dflash/vllm_dflash/c2,time_to_first_token,112.63471505,p99,ms
8,27B,pr2_dflash,2,2,b200-repeats-20260922/rep2-block8/27B/pr2_dflash/vllm_dflash/c2,time_to_first_token,123.06843619999998,p99,ms
8,27B,pr2_dflash,2,3,b200-repeats-20260922/rep3-block8/27B/pr2_dflash/vllm_dflash/c2,time_to_first_token,125.76453794,p99,ms
8,27B,pr2_dflash,4,1,b200-block8-20260922/27B/pr2_dflash/vllm_dflash/c4,acceptance_length,5.645275805570726,avg,tokens
8,27B,pr2_dflash,4,2,b200-repeats-20260922/rep2-block8/27B/pr2_dflash/vllm_dflash/c4,acceptance_length,5.719911259012757,avg,tokens
8,27B,pr2_dflash,4,3,b200-repeats-20260922/rep3-block8/27B/pr2_dflash/vllm_dflash/c4,acceptance_length,5.688086045228903,avg,tokens
8,27B,pr2_dflash,4,1,b200-block8-20260922/27B/pr2_dflash/vllm_dflash/c4,inter_chunk_latency,63.63706746999999,p99,ms
8,27B,pr2_dflash,4,2,b200-repeats-20260922/rep2-block8/27B/pr2_dflash/vllm_dflash/c4,inter_chunk_latency,61.2039326,p99,ms
8,27B,pr2_dflash,4,3,b200-repeats-20260922/rep3-block8/27B/pr2_dflash/vllm_dflash/c4,inter_chunk_latency,64.05900749999999,p99,ms
8,27B,pr2_dflash,4,1,b200-block8-20260922/27B/pr2_dflash/vllm_dflash/c4,inter_token_latency,3.105684737254902,p90,ms
8,27B,pr2_dflash,4,2,b200-repeats-20260922/rep2-block8/27B/pr2_dflash/vllm_dflash/c4,inter_token_latency,2.9227457847058824,p90,ms
8,27B,pr2_dflash,4,3,b200-repeats-20260922/rep3-block8/27B/pr2_dflash/vllm_dflash/c4,inter_token_latency,3.081584639215686,p90,ms
8,27B,pr2_dflash,4,1,b200-block8-20260922/27B/pr2_dflash/vllm_dflash/c4,inter_token_latency,3.41093576435294,p99,ms
8,27B,pr2_dflash,4,2,b200-repeats-20260922/rep2-block8/27B/pr2_dflash/vllm_dflash/c4,inter_token_latency,3.2560788039215662,p99,ms
8,27B,pr2_dflash,4,3,b200-repeats-20260922/rep3-block8/27B/pr2_dflash/vllm_dflash/c4,inter_token_latency,3.40605292345098,p99,ms
8,27B,pr2_dflash,4,1,b200-block8-20260922/27B/pr2_dflash/vllm_dflash/c4,interactivity,293.1746796438724,derived,tokens/s/user
8,27B,pr2_dflash,4,2,b200-repeats-20260922/rep2-block8/27B/pr2_dflash/vllm_dflash/c4,interactivity,307.11787405010494,derived,tokens/s/user
8,27B,pr2_dflash,4,3,b200-repeats-20260922/rep3-block8/27B/pr2_dflash/vllm_dflash/c4,interactivity,293.59496827395435,derived,tokens/s/user
8,27B,pr2_dflash,4,1,b200-block8-20260922/27B/pr2_dflash/vllm_dflash/c4,interactivity,321.99018400170735,derived_p90,tokens/s/user
8,27B,pr2_dflash,4,2,b200-repeats-20260922/rep2-block8/27B/pr2_dflash/vllm_dflash/c4,interactivity,342.1440226627957,derived_p90,tokens/s/user
8,27B,pr2_dflash,4,3,b200-repeats-20260922/rep3-block8/27B/pr2_dflash/vllm_dflash/c4,interactivity,324.50836731017597,derived_p90,tokens/s/user
8,27B,pr2_dflash,4,1,b200-block8-20260922/27B/pr2_dflash/vllm_dflash/c4,output_token_throughput,1328.5439796851426,avg,tokens/s
8,27B,pr2_dflash,4,2,b200-repeats-20260922/rep2-block8/27B/pr2_dflash/vllm_dflash/c4,output_token_throughput,1355.742668787476,avg,tokens/s
8,27B,pr2_dflash,4,3,b200-repeats-20260922/rep3-block8/27B/pr2_dflash/vllm_dflash/c4,output_token_throughput,1334.3750129265543,avg,tokens/s
8,27B,pr2_dflash,4,1,b200-block8-20260922/27B/pr2_dflash/vllm_dflash/c4,time_to_first_token,162.55098709,p99,ms
8,27B,pr2_dflash,4,2,b200-repeats-20260922/rep2-block8/27B/pr2_dflash/vllm_dflash/c4,time_to_first_token,184.79832029999997,p99,ms
8,27B,pr2_dflash,4,3,b200-repeats-20260922/rep3-block8/27B/pr2_dflash/vllm_dflash/c4,time_to_first_token,145.71114153,p99,ms
8,27B,pr2_dflash,8,1,b200-block8-20260922/27B/pr2_dflash/vllm_dflash/c8,acceptance_length,5.631112927394088,avg,tokens
8,27B,pr2_dflash,8,2,b200-repeats-20260922/rep2-block8/27B/pr2_dflash/vllm_dflash/c8,acceptance_length,5.62450538954837,avg,tokens
8,27B,pr2_dflash,8,3,b200-repeats-20260922/rep3-block8/27B/pr2_dflash/vllm_dflash/c8,acceptance_length,5.644350321082115,avg,tokens
8,27B,pr2_dflash,8,1,b200-block8-20260922/27B/pr2_dflash/vllm_dflash/c8,inter_chunk_latency,63.842638600000015,p99,ms
8,27B,pr2_dflash,8,2,b200-repeats-20260922/rep2-block8/27B/pr2_dflash/vllm_dflash/c8,inter_chunk_latency,63.97019024000005,p99,ms
8,27B,pr2_dflash,8,3,b200-repeats-20260922/rep3-block8/27B/pr2_dflash/vllm_dflash/c8,inter_chunk_latency,64.96127082,p99,ms
8,27B,pr2_dflash,8,1,b200-block8-20260922/27B/pr2_dflash/vllm_dflash/c8,inter_token_latency,4.067409555294117,p90,ms
8,27B,pr2_dflash,8,2,b200-repeats-20260922/rep2-block8/27B/pr2_dflash/vllm_dflash/c8,inter_token_latency,3.9772174827450977,p90,ms
8,27B,pr2_dflash,8,3,b200-repeats-20260922/rep3-block8/27B/pr2_dflash/vllm_dflash/c8,inter_token_latency,4.113017599999999,p90,ms
8,27B,pr2_dflash,8,1,b200-block8-20260922/27B/pr2_dflash/vllm_dflash/c8,inter_token_latency,4.658013255254901,p99,ms
8,27B,pr2_dflash,8,2,b200-repeats-20260922/rep2-block8/27B/pr2_dflash/vllm_dflash/c8,inter_token_latency,4.851560648117647,p99,ms
8,27B,pr2_dflash,8,3,b200-repeats-20260922/rep3-block8/27B/pr2_dflash/vllm_dflash/c8,inter_token_latency,5.047552335843136,p99,ms
8,27B,pr2_dflash,8,1,b200-block8-20260922/27B/pr2_dflash/vllm_dflash/c8,interactivity,214.68380298657544,derived,tokens/s/user
8,27B,pr2_dflash,8,2,b200-repeats-20260922/rep2-block8/27B/pr2_dflash/vllm_dflash/c8,interactivity,206.11924131835585,derived,tokens/s/user
8,27B,pr2_dflash,8,3,b200-repeats-20260922/rep3-block8/27B/pr2_dflash/vllm_dflash/c8,interactivity,198.1158259417951,derived,tokens/s/user
8,27B,pr2_dflash,8,1,b200-block8-20260922/27B/pr2_dflash/vllm_dflash/c8,interactivity,245.856726844339,derived_p90,tokens/s/user
8,27B,pr2_dflash,8,2,b200-repeats-20260922/rep2-block8/27B/pr2_dflash/vllm_dflash/c8,interactivity,251.43206383317877,derived_p90,tokens/s/user
8,27B,pr2_dflash,8,3,b200-repeats-20260922/rep3-block8/27B/pr2_dflash/vllm_dflash/c8,interactivity,243.13049377663742,derived_p90,tokens/s/user
8,27B,pr2_dflash,8,1,b200-block8-20260922/27B/pr2_dflash/vllm_dflash/c8,output_token_throughput,2083.6308010711364,avg,tokens/s
8,27B,pr2_dflash,8,2,b200-repeats-20260922/rep2-block8/27B/pr2_dflash/vllm_dflash/c8,output_token_throughput,2163.4661700401475,avg,tokens/s
8,27B,pr2_dflash,8,3,b200-repeats-20260922/rep3-block8/27B/pr2_dflash/vllm_dflash/c8,output_token_throughput,2098.8466934575467,avg,tokens/s
8,27B,pr2_dflash,8,1,b200-block8-20260922/27B/pr2_dflash/vllm_dflash/c8,time_to_first_token,188.65287601,p99,ms
8,27B,pr2_dflash,8,2,b200-repeats-20260922/rep2-block8/27B/pr2_dflash/vllm_dflash/c8,time_to_first_token,183.07267851,p99,ms
8,27B,pr2_dflash,8,3,b200-repeats-20260922/rep3-block8/27B/pr2_dflash/vllm_dflash/c8,time_to_first_token,191.2875244,p99,ms
8,27B,pr2_dflash,16,1,b200-block8-20260922/27B/pr2_dflash/vllm_dflash/c16,acceptance_length,5.780655095184771,avg,tokens
8,27B,pr2_dflash,16,2,b200-repeats-20260922/rep2-block8/27B/pr2_dflash/vllm_dflash/c16,acceptance_length,5.6867295640796085,avg,tokens
8,27B,pr2_dflash,16,3,b200-repeats-20260922/rep3-block8/27B/pr2_dflash/vllm_dflash/c16,acceptance_length,5.753222322859332,avg,tokens
8,27B,pr2_dflash,16,1,b200-block8-20260922/27B/pr2_dflash/vllm_dflash/c16,inter_chunk_latency,71.28385002999998,p99,ms
8,27B,pr2_dflash,16,2,b200-repeats-20260922/rep2-block8/27B/pr2_dflash/vllm_dflash/c16,inter_chunk_latency,69.70454719999998,p99,ms
8,27B,pr2_dflash,16,3,b200-repeats-20260922/rep3-block8/27B/pr2_dflash/vllm_dflash/c16,inter_chunk_latency,66.33925664,p99,ms
8,27B,pr2_dflash,16,1,b200-block8-20260922/27B/pr2_dflash/vllm_dflash/c16,inter_token_latency,5.543592190588235,p90,ms
8,27B,pr2_dflash,16,2,b200-repeats-20260922/rep2-block8/27B/pr2_dflash/vllm_dflash/c16,inter_token_latency,5.360198694901961,p90,ms
8,27B,pr2_dflash,16,3,b200-repeats-20260922/rep3-block8/27B/pr2_dflash/vllm_dflash/c16,inter_token_latency,5.5378867988235285,p90,ms
8,27B,pr2_dflash,16,1,b200-block8-20260922/27B/pr2_dflash/vllm_dflash/c16,inter_token_latency,6.522940964941176,p99,ms
8,27B,pr2_dflash,16,2,b200-repeats-20260922/rep2-block8/27B/pr2_dflash/vllm_dflash/c16,inter_token_latency,6.637688749882353,p99,ms
8,27B,pr2_dflash,16,3,b200-repeats-20260922/rep3-block8/27B/pr2_dflash/vllm_dflash/c16,inter_token_latency,6.612951504549019,p99,ms
8,27B,pr2_dflash,16,1,b200-block8-20260922/27B/pr2_dflash/vllm_dflash/c16,interactivity,153.30508207489473,derived,tokens/s/user
8,27B,pr2_dflash,16,2,b200-repeats-20260922/rep2-block8/27B/pr2_dflash/vllm_dflash/c16,interactivity,150.65484955402948,derived,tokens/s/user
