TABLE 1 — DESCRIPTIVE STATISTICS
(mean; standard deviation in parentheses; quartiles by settler mortality)

                                                           Whole world   Base sample           (1)           (2)           (3)           (4)
Log GDP per capita (PPP) in 1995                           8.30 (1.11)   8.06 (1.04)   8.89 (1.29)   8.41 (0.64)   7.78 (0.80)   7.20 (0.63)
Log output per worker in 1988                             -1.73 (1.08)  -1.93 (0.98)  -1.03 (0.86)  -1.46 (0.42)  -2.20 (0.80)  -3.03 (0.48)
Average protection against expropriation risk, 1985-1995   7.07 (1.80)   6.52 (1.47)   7.90 (1.55)   6.47 (0.95)   5.97 (1.32)   5.89 (1.30)
Constraint on executive in 1990                            3.64 (2.34)   3.97 (2.26)   5.33 (2.10)   5.12 (1.80)   3.31 (2.18)   2.27 (1.58)
Constraint on executive in 1900                            1.86 (1.82)   2.25 (2.11)   3.67 (2.99)   3.28 (2.11)   1.12 (0.50)   1.00 (0.00)
Constraint on executive in first year of independence      3.59 (2.41)   3.40 (2.39)   5.17 (2.76)   2.44 (1.92)   3.12 (2.28)   3.43 (2.14)
Democracy in 1900                                          1.15 (2.58)   1.64 (3.00)   3.92 (4.58)   2.76 (2.91)   0.19 (0.40)   0.00 (0.00)
European settlements in 1900                               0.30 (0.42)   0.16 (0.26)   0.32 (0.44)   0.26 (0.18)   0.08 (0.12)   0.01 (0.02)
Log European settler mortality                                    n.a.   4.66 (1.26)   3.01 (0.59)   4.28 (0.05)   4.92 (0.40)   6.35 (0.75)
Number of observations                                             163            64            14            18            17            15
