variant,configuration,concurrency,latency_p50_ms,throughput_tokens_s,tpot_p99_ms,interactivity_tokens_s,pareto_optimal
vllm_baseline,vLLM baseline,1,653.85527,389.9830764675363,2.4765951661176464,403.7801630565311,False
vllm_baseline,vLLM baseline,2,711.1290419999999,716.9075934817713,2.619234237490196,381.79097756381674,False
vllm_baseline,vLLM baseline,4,714.0369519999999,1428.1974418511406,2.6230829706870464,381.2307926112138,False
vllm_baseline,vLLM baseline,8,741.2589765,2744.435667288546,2.7386127069803923,365.14838240950286,False
vllm_baseline,vLLM baseline,16,792.3466139999999,5148.070128555642,2.8727925216862746,348.0933594929504,False
vllm_baseline,vLLM baseline,32,893.7589519999999,9120.767337791838,3.1826309832156863,314.2054499166642,False
vllm_dflash,vLLM + DFlash,1,402.1524735,607.6096572912027,2.3811647806666665,419.9625360324811,False
vllm_dflash,vLLM + DFlash,2,439.878814,1048.0159468243437,2.793980422470588,357.91231461663074,False
vllm_dflash,vLLM + DFlash,4,538.348797,1744.149979611241,3.7530292972941135,266.45142384606146,False
vllm_dflash,vLLM + DFlash,8,691.5536629999999,2664.712924305733,5.319647096156863,187.98239468224165,False
vllm_dflash,vLLM + DFlash,16,951.569835,4098.171166624326,6.7078566523534,149.07891623610615,False
vllm_dflash,vLLM + DFlash,32,1366.7044039999998,5554.173709717122,9.711615964470589,102.96947528181147,False
sglang_baseline,SGLang baseline,1,614.1448525,414.67686798366975,2.3658991356470587,422.67228764446304,False
sglang_baseline,SGLang baseline,2,627.8098759999999,809.9104711250523,2.336312513529412,428.0249299736548,False
sglang_baseline,SGLang baseline,4,647.5346045,1573.4583284244843,2.405385201294735,415.7338290190423,False
sglang_baseline,SGLang baseline,8,684.2911409999999,2978.7268132557906,2.5351029567450984,394.46129686343494,False
sglang_baseline,SGLang baseline,16,724.946591,5625.259223141957,2.692122341490196,371.45414403658214,True
sglang_baseline,SGLang baseline,32,803.9289165,9658.222341213685,2.997173999753126,333.6476294277105,True
sglang_dflash,SGLang + DFlash,1,215.2796315,1094.583388942178,1.4120096149019628,708.2104749473898,True
sglang_dflash,SGLang + DFlash,2,267.0516275,1811.1299195027354,1.676620126745098,596.4380267469098,True
sglang_dflash,SGLang + DFlash,4,299.32935,3106.551367665921,2.015287829215685,496.207035790606,True
sglang_dflash,SGLang + DFlash,8,426.34736399999997,4269.918720391525,3.095324697019607,323.06788394861104,False
sglang_dflash,SGLang + DFlash,16,652.5954435,5808.047872682408,4.688619841411764,213.28238027907494,False
sglang_dflash,SGLang + DFlash,32,792.044778,9546.287923068481,5.605644027333334,178.39163441773363,False
pr2_dflash,vLLM + DFlash PR 52297,1,267.716057,902.8497568770554,1.590818093607844,628.6073838474408,False
pr2_dflash,vLLM + DFlash PR 52297,2,329.6922375,1484.9307750171379,1.8816492296470584,531.4486803619452,False
pr2_dflash,vLLM + DFlash PR 52297,4,415.15666949999996,2375.3968753917457,2.2594832923921535,442.57906370322524,False
pr2_dflash,vLLM + DFlash PR 52297,8,554.9096949999999,3623.6962682835565,3.287349102666666,304.19647222402074,False
pr2_dflash,vLLM + DFlash PR 52297,16,731.518839,5238.019894047898,5.032193678509803,198.72049127809655,False
pr2_dflash,vLLM + DFlash PR 52297,32,1136.9765585,6676.6777081135115,8.283094086117648,120.72783305407411,False
