metric,variant,value,block,repetition,model
Reported cache tokens,vllm_baseline,2134931.0,8,1,27B
128K seq equivalents (est.),vllm_baseline,16.29,8,1,27B
Configured request limit,vllm_baseline,32.0,8,1,27B
Reported cache tokens,vllm_dflash,1413914.0,8,1,27B
128K seq equivalents (est.),vllm_dflash,10.79,8,1,27B
Configured request limit,vllm_dflash,32.0,8,1,27B
Reported cache tokens,sglang_baseline,2140480.0,8,1,27B
128K seq equivalents (est.),sglang_baseline,16.33,8,1,27B
Configured request limit,sglang_baseline,32.0,8,1,27B
Reported cache tokens,sglang_dflash,1300975.0,8,1,27B
128K seq equivalents (est.),sglang_dflash,9.93,8,1,27B
Configured request limit,sglang_dflash,32.0,8,1,27B
Reported cache tokens,pr2_dflash,1413914.0,8,1,27B
128K seq equivalents (est.),pr2_dflash,10.79,8,1,27B
Configured request limit,pr2_dflash,32.0,8,1,27B
Reported cache tokens,vllm_baseline,5037287.0,8,1,4B
128K seq equivalents (est.),vllm_baseline,38.43,8,1,4B
Configured request limit,vllm_baseline,32.0,8,1,4B
Reported cache tokens,vllm_dflash,3369399.0,8,1,4B
128K seq equivalents (est.),vllm_dflash,25.71,8,1,4B
Configured request limit,vllm_dflash,32.0,8,1,4B
Reported cache tokens,sglang_baseline,5128384.0,8,1,4B
128K seq equivalents (est.),sglang_baseline,39.13,8,1,4B
Configured request limit,sglang_baseline,32.0,8,1,4B
Reported cache tokens,sglang_dflash,2795991.0,8,1,4B
128K seq equivalents (est.),sglang_dflash,21.33,8,1,4B
Configured request limit,sglang_dflash,32.0,8,1,4B
Reported cache tokens,pr2_dflash,3369399.0,8,1,4B
128K seq equivalents (est.),pr2_dflash,25.71,8,1,4B
Configured request limit,pr2_dflash,32.0,8,1,4B
Reported cache tokens,vllm_baseline,6380032.0,8,1,35B-A3B
128K seq equivalents (est.),vllm_baseline,48.68,8,1,35B-A3B
Configured request limit,vllm_baseline,32.0,8,1,35B-A3B
Reported cache tokens,vllm_dflash,2838836.0,8,1,35B-A3B
128K seq equivalents (est.),vllm_dflash,21.66,8,1,35B-A3B
Configured request limit,vllm_dflash,32.0,8,1,35B-A3B
Reported cache tokens,sglang_baseline,6697728.0,8,1,35B-A3B
128K seq equivalents (est.),sglang_baseline,51.1,8,1,35B-A3B
Configured request limit,sglang_baseline,32.0,8,1,35B-A3B
Reported cache tokens,sglang_dflash,2841513.0,8,1,35B-A3B
128K seq equivalents (est.),sglang_dflash,21.68,8,1,35B-A3B
Configured request limit,sglang_dflash,32.0,8,1,35B-A3B
Reported cache tokens,pr2_dflash,2838836.0,8,1,35B-A3B
128K seq equivalents (est.),pr2_dflash,21.66,8,1,35B-A3B
Configured request limit,pr2_dflash,32.0,8,1,35B-A3B
Reported cache tokens,vllm_baseline,2134931.0,8,2,27B
128K seq equivalents (est.),vllm_baseline,16.29,8,2,27B
Configured request limit,vllm_baseline,32.0,8,2,27B
Reported cache tokens,vllm_dflash,1437032.0,8,2,27B
128K seq equivalents (est.),vllm_dflash,10.96,8,2,27B
Configured request limit,vllm_dflash,32.0,8,2,27B
Reported cache tokens,sglang_baseline,2140480.0,8,2,27B
128K seq equivalents (est.),sglang_baseline,16.33,8,2,27B
Configured request limit,sglang_baseline,32.0,8,2,27B
